"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","01","66.81","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","02","61.52","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","03","58.90","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","04","58.37","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","05","62.04","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","06","63.26","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","07","59.46","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","08","55.42","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","09","53.73","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","10","50.56","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","11","44.65","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","12","36.87","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","13","36.20","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","14","31.75","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","15","28.65","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","16","31.11","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","17","42.05","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","18","45.91","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","19","50.93","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","20","52.62","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","21","58.17","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","22","60.90","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","23","61.48","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","01/01/2022","24","60.12","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","01","63.81","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","02","63.02","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","03","60.11","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","04","65.49","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","05","65.55","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","06","65.19","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","07","65.16","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","08","66.32","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","09","64.56","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","10","46.77","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","11","44.92","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","12","37.56","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","13","24.69","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","14","23.55","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","15","24.00","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","16","29.28","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","17","33.94","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","18","42.32","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","19","54.32","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","20","62.21","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","21","70.20","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","22","76.00","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","23","79.09","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","02/01/2022","24","78.82","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","01","80.97","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","02","82.51","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","03","82.66","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","04","81.02","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","05","81.43","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","06","80.79","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","07","79.84","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","08","78.96","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","09","77.86","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","10","74.66","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","11","67.71","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","12","65.62","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","13","67.11","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","14","66.76","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","15","68.01","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","16","68.61","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","17","72.44","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","18","75.19","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","19","77.09","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","20","78.38","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","21","78.25","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","22","79.38","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","23","80.11","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","03/01/2022","24","80.53","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","01","82.11","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","02","81.71","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","03","81.69","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","04","83.36","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","05","84.07","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","06","81.97","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","07","79.03","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","08","77.82","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","09","75.75","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","10","72.67","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","11","71.38","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","12","63.93","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","13","61.11","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","14","61.40","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","15","62.97","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","16","66.66","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","17","75.11","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","18","79.94","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","19","82.16","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","20","83.17","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","21","84.12","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","22","84.05","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","23","84.55","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","04/01/2022","24","82.54","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","01","81.21","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","02","81.58","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","03","82.41","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","04","82.41","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","05","82.79","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","06","77.48","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","07","75.98","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","08","85.96","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","09","74.27","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","10","59.42","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","11","58.65","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","12","47.98","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","13","34.37","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","14","25.45","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","15","24.83","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","16","28.77","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","17","32.97","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","18","38.52","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","19","46.52","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","20","64.20","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","21","69.58","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","22","67.28","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","23","67.31","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","05/01/2022","24","67.75","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","01","67.41","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","02","68.76","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","03","67.80","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","04","73.10","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","05","78.43","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","06","81.25","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","07","79.42","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","08","83.15","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","09","85.85","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","10","74.85","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","11","63.42","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","12","58.31","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","13","57.71","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","14","59.43","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","15","62.58","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","16","61.55","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","17","65.40","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","18","69.12","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","19","73.95","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","20","77.05","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","21","81.07","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","22","80.81","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","23","84.10","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","06/01/2022","24","83.91","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","01","84.94","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","02","84.13","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","03","84.97","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","04","85.36","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","05","86.46","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","06","85.64","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","07","85.49","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","08","87.64","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","09","86.19","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","10","86.48","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","11","86.11","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","12","88.86","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","13","81.91","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","14","85.81","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","15","84.74","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","16","81.85","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","17","78.97","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","18","81.60","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","19","83.07","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","20","81.94","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","21","79.58","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","22","80.39","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","23","81.79","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","07/01/2022","24","82.05","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","01","84.70","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","02","80.15","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","03","83.61","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","04","87.55","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","05","90.70","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","06","92.83","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","07","92.42","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","08","92.31","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","09","91.68","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","10","90.37","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","11","87.50","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","12","84.10","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","13","77.27","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","14","77.29","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","15","81.38","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","16","80.62","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","17","78.94","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","18","78.12","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","19","79.71","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","20","75.97","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","21","74.22","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","22","71.82","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","23","80.25","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","08/01/2022","24","82.04","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","01","81.03","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","02","84.09","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","03","85.77","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","04","86.74","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","05","87.56","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","06","88.40","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","07","83.44","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","08","76.28","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","09","73.21","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","10","54.67","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","11","55.58","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","12","44.45","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","13","50.82","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","14","56.77","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","15","61.99","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","16","76.02","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","17","85.67","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","18","87.53","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","19","88.75","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","20","87.32","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","21","87.69","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","22","90.76","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","23","90.51","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","09/01/2022","24","89.75","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","01","86.97","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","02","86.98","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","03","86.35","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","04","83.46","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","05","83.79","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","06","87.25","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","07","87.70","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","08","89.39","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","09","88.03","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","10","86.60","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","11","86.99","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","12","79.57","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","13","81.51","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","14","82.98","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","15","83.41","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","16","83.41","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","17","85.03","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","18","84.93","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","19","84.22","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","20","83.97","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","21","83.52","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","22","79.28","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","23","79.96","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","10/01/2022","24","77.53","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","01","76.36","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","02","78.43","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","03","77.14","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","04","74.44","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","05","71.93","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","06","73.46","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","07","74.61","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","08","78.11","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","09","78.30","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","10","77.83","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","11","75.96","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","12","74.05","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","13","72.04","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","14","70.93","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","15","70.94","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","16","73.62","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","17","75.79","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","18","74.92","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","19","73.50","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","20","73.47","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","21","73.30","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","22","71.68","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","23","72.26","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","11/01/2022","24","73.73","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","01","72.46","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","02","71.73","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","03","68.11","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","04","71.22","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","05","71.92","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","06","73.79","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","07","75.04","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","08","74.50","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","09","70.96","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","10","69.34","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","11","69.31","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","12","67.80","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","13","65.75","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","14","67.15","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","15","72.22","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","16","72.75","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","17","70.05","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","18","67.44","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","19","68.03","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","20","71.23","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","21","70.74","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","22","69.71","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","23","68.79","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","12/01/2022","24","66.98","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","13/01/2022","01","66.30","1"
"Viggiano-Costa_Molina_Sud1","Umidità_Relativa","%","13/01/2022","02","65.74","1"
